

/Gem Systems GSM-19TG 0033531 v7.0 10 XII 2008 M t-e3.v7                            
/ID 75

/Gem Systems GSM-19TG 0033531 v7.0 10 XII 2008 M t-e3.v7                            
/ID 75 file 74grupoe.b   23 IX 14
/datum  31303.40
/
/time nT sq 
095702.0  31403.03 99 
095712.0  31401.75 99 
095722.0  31402.45 99 
095732.0  31402.06 99 
095742.0  31402.29 99 
095752.0  31402.11 99 
095802.0  31402.26 99 
095812.0  31402.20 99 
095822.0  31402.22 99 
095832.0  31402.36 99 
095842.0  31402.55 99 
095852.0  31402.77 99 
095902.0  31402.94 99 
095912.0  31402.62 99 
095922.0  31402.66 99 
095932.0  31402.57 99 
095942.0  31402.86 99 
095952.0  31402.53 99 
100002.0  31402.48 99 
100012.0  31402.67 99 
100022.0  31402.44 99 
100032.0  31402.66 99 
100042.0  31402.59 99 
100052.0  31402.66 99 
100102.0  31402.95 99 
100112.0  31402.75 99 
100122.0  31402.98 99 
100132.0  31403.05 99 
100142.0  31403.04 99 
100152.0  31402.74 99 
100202.0  31403.38 99 
100212.0  31402.62 99 
100222.0  31403.19 99 
100232.0  31402.94 99 
100242.0  31402.63 99 
100252.0  31402.83 99 
100302.0  31402.91 99 
100312.0  31402.79 99 
100322.0  31402.75 99 
100332.0  31402.43 99 
100342.0  31402.80 99 
100352.0  31403.07 99 
100402.0  31401.93 99 
100412.0  31402.20 99 
100422.0  31402.41 99 
100432.0  31402.17 99 
100442.0  31402.29 99 
100452.0  31402.44 99 
100502.0  31402.52 99 
100512.0  31402.23 99 
100522.0  31402.31 99 
100532.0  31402.34 99 
100542.0  31402.23 99 
100552.0  31402.30 99 
100602.0  31402.31 99 
100612.0  31402.31 99 
100622.0  31401.98 99 
100632.0  31401.81 99 
100642.0  31401.59 99 
100652.0  31401.75 99 
100702.0  31401.51 99 
100712.0  31401.36 99 
100722.0  31401.88 99 
100732.0  31401.59 99 
100742.0  31401.43 99 
100752.0  31401.31 99 
100802.0  31401.32 99 
100812.0  31400.98 99 
100822.0  31400.99 99 
100832.0  31400.95 99 
100842.0  31400.75 99 
100852.0  31401.36 99 
100902.0  31401.06 99 
100912.0  31401.12 99 
100922.0  31401.28 99 
100932.0  31401.41 99 
100942.0  31401.37 99 
100952.0  31401.28 99 
101002.0  31401.36 99 
101012.0  31401.57 99 
101022.0  31401.32 99 
101032.0  31401.51 99 
101042.0  31401.53 99 
101052.0  31401.15 99 
101102.0  31401.65 99 
101112.0  31401.46 99 
101122.0  31401.51 99 
101132.0  31401.67 99 
101142.0  31401.28 99 
101152.0  31401.31 99 
101202.0  31401.58 99 
101212.0  31401.59 99 
101222.0  31401.75 99 
101232.0  31401.08 99 
101242.0  31401.67 99 
101252.0  31401.88 99 
101302.0  31401.59 99 
101312.0  31401.86 99 
101322.0  31402.07 99 
101332.0  31402.23 99 
101342.0  31402.30 99 
101352.0  31402.25 99 
101402.0  31401.96 99 
101412.0  31402.36 99 
101422.0  31402.05 99 
101432.0  31402.18 99 
101442.0  31402.01 99 
101452.0  31402.50 99 
101502.0  31402.39 99 
101512.0  31402.31 99 
101522.0  31402.42 99 
101532.0  31402.34 99 
101542.0  31402.45 99 
101552.0  31402.57 99 
101602.0  31402.59 99 
101612.0  31402.48 99 
101622.0  31402.42 99 
101632.0  31403.90 99 
101642.0  31403.66 99 
101652.0  31403.89 99 
101702.0  31403.67 99 
101712.0  31403.66 99 
101722.0  31403.59 99 
101732.0  31403.93 99 
101742.0  31404.06 99 
101752.0  31404.07 99 
101802.0  31404.18 99 
101812.0  31403.68 99 
101822.0  31403.73 99 
101832.0  31404.00 99 
101842.0  31404.23 99 
101852.0  31403.96 99 
101902.0  31404.00 99 
101912.0  31403.92 99 
101922.0  31403.94 99 
101932.0  31403.73 99 
101942.0  31403.69 99 
101952.0  31404.17 99 
102002.0  31403.86 99 
102012.0  31403.61 99 
102022.0  31404.27 99 
102032.0  31404.10 99 
102042.0  31403.97 99 
102052.0  31403.94 99 
102102.0  31404.07 99 
102112.0  31404.12 99 
102122.0  31403.96 99 
102132.0  31404.23 99 
102142.0  31403.99 99 
102152.0  31404.01 99 
102202.0  31404.41 99 
102212.0  31404.10 99 
