

/Gem Systems GSM-19TG 0033531 v7.0 10 XII 2008 M t-e3.v7                            
/ID 75 file 76grupoe.b   23 IX 14
/datum  31303.40
/
/time nT sq 
132102.0  31399.65 99 
132112.0  31398.09 99 
132122.0  31398.28 99 
132132.0  31397.99 99 
132142.0  31397.08 99 
132152.0  31397.23 99 
132202.0  31396.59 99 
132212.0  31399.23 99 
132222.0  31400.71 99 
132232.0  31400.72 99 
132242.0  31400.76 99 
132252.0  31400.73 99 
132302.0  31400.73 99 
132312.0  31400.79 99 
132322.0  31400.41 99 
132332.0  31400.39 99 
132342.0  31400.33 99 
132352.0  31400.44 99 
132402.0  31400.34 99 
132412.0  31400.51 99 
132422.0  31400.43 99 
132432.0  31400.59 99 
132442.0  31400.65 99 
132452.0  31400.60 99 
132502.0  31400.27 99 
132512.0  31400.53 99 
132522.0  31400.57 99 
132532.0  31400.67 99 
132542.0  31400.91 99 
132552.0  31400.87 99 
132602.0  31401.00 99 
132612.0  31401.01 99 
132622.0  31400.93 99 
132632.0  31400.98 99 
132642.0  31401.25 99 
132652.0  31401.29 99 
132702.0  31401.29 99 
132712.0  31401.38 99 
132722.0  31401.58 99 
132732.0  31401.80 99 
132742.0  31401.24 99 
132752.0  31401.35 99 
132802.0  31401.18 99 
132812.0  31401.13 99 
132822.0  31401.05 99 
132832.0  31401.28 99 
132842.0  31401.22 99 
132852.0  31401.11 99 
132902.0  31400.96 99 
132912.0  31400.78 99 
132922.0  31397.30 99 
132932.0  31393.87 99 
132942.0  31400.78 99 
132952.0  31401.06 99 
133002.0  31401.30 99 
133012.0  31398.77 99 
133022.0  31398.93 99 
133032.0  31398.91 99 
133042.0  31398.79 99 
133052.0  31398.63 99 
133102.0  31398.70 99 
133112.0  31398.49 99 
133122.0  31397.76 99 
133132.0  31397.98 99 
133142.0  31398.33 99 
133152.0  31398.37 99 
133202.0  31398.48 99 
133212.0  31398.58 99 
133222.0  31398.76 99 
133232.0  31398.72 99 
133242.0  31398.82 99 
133252.0  31398.84 99 
133302.0  31399.14 99 
133312.0  31399.08 99 
133322.0  31399.22 99 
133332.0  31399.36 99 
133342.0  31399.45 99 
133352.0  31399.52 99 
133402.0  31399.38 99 
133412.0  31399.58 99 
133422.0  31399.39 99 
133432.0  31399.29 99 
133442.0  31399.31 99 
133452.0  31399.21 99 
133502.0  31399.20 99 
133512.0  31399.25 99 
133522.0  31399.26 99 
133532.0  31399.30 99 
133542.0  31399.49 99 
133552.0  31399.33 99 
133602.0  31399.30 99 
133612.0  31399.26 99 
133622.0  31399.38 99 
133632.0  31399.35 99 
133642.0  31399.19 99 
133652.0  31397.99 99 
133702.0  31398.09 99 
133712.0  31398.06 99 
133722.0  31398.03 99 
133732.0  31397.96 99 
133742.0  31399.24 99 
133752.0  31399.36 99 
133802.0  31399.09 99 
133812.0  31398.91 99 
133822.0  31399.00 99 
133832.0  31398.83 99 
133842.0  31399.65 99 
133852.0  31399.63 99 
133902.0  31399.34 99 
133912.0  31399.41 99 
133922.0  31399.17 99 
133932.0  31398.98 99 
133942.0  31398.81 99 
133952.0  31398.55 99 
134002.0  31398.42 99 
134012.0  31398.25 99 
134022.0  31397.84 99 
134032.0  31394.07 99 
134042.0  31397.06 99 
134052.0  31396.70 99 
134102.0  31398.94 99 
134112.0  31398.88 99 
134122.0  31397.01 99 
134132.0  31397.03 99 
134142.0  31397.02 99 
134152.0  31396.84 99 
134202.0  31396.45 99 
134212.0  31396.30 99 
134222.0  31396.30 99 
134232.0  31396.15 99 
134242.0  31395.59 99 
134252.0  31396.31 99 
134302.0  31396.37 99 
134312.0  31396.12 99 
134322.0  31395.80 99 
134332.0  31395.56 99 
134342.0  31395.38 99 
134352.0  31395.12 99 
134402.0  31394.91 99 
134412.0  31394.78 99 
134422.0  31394.69 99 
134432.0  31394.75 99 
134442.0  31394.78 99 
134452.0  31394.96 99 
134502.0  31395.06 99 
134512.0  31395.00 99 
134522.0  31395.08 99 
134532.0  31395.01 99 
134542.0  31394.94 99 
134552.0  31395.03 99 
134602.0  31395.14 99 
134612.0  31394.97 99 
134622.0  31394.83 99 
134632.0  31394.62 99 
134642.0  31394.52 99 
134652.0  31394.34 99 
134702.0  31394.21 99 
134712.0  31394.08 99 
134722.0  31393.83 99 
134732.0  31392.99 99 
134742.0  31392.64 99 
134752.0  31392.82 99 
134802.0  31392.01 99 
134812.0  31391.15 99 
134822.0  31391.35 99 
134832.0  31391.40 99 
134842.0  31391.43 99 
134852.0  31392.22 99 
134902.0  31392.02 99 
134912.0  31392.27 99 
134922.0  31392.23 99 
134932.0  31392.17 99 
134942.0  31392.23 99 
134952.0  31391.90 99 
135002.0  31391.86 99 
135012.0  31391.93 99 
135022.0  31392.30 99 
135032.0  31392.07 99 
135042.0  31392.13 99 
135052.0  31392.12 99 
135102.0  31392.13 99 
135112.0  31391.93 99 
135122.0  31391.94 99 
135132.0  31392.18 99 
135142.0  31392.05 99 
135152.0  31391.85 99 
135202.0  31392.00 99 
135212.0  31391.85 99 
135222.0  31391.67 99 
135232.0  31391.82 99 
135242.0  31391.60 99 
135252.0  31391.45 99 
135302.0  31391.39 99 
135312.0  31390.86 99 
